,popularity,characteristic,power
863,63,speechiness,0.0476
864,64,speechiness,0.0472
865,65,speechiness,0.04695
866,66,speechiness,0.0504
867,67,speechiness,0.0529
868,68,speechiness,0.0507
869,69,speechiness,0.0569
870,70,speechiness,0.054150000000000004
871,71,speechiness,0.0576
872,72,speechiness,0.0553
873,73,speechiness,0.05655
874,74,speechiness,0.052000000000000005
875,75,speechiness,0.0594
876,76,speechiness,0.0568
877,77,speechiness,0.0599
878,78,speechiness,0.0566
879,79,speechiness,0.05865
880,80,speechiness,0.0626
881,81,speechiness,0.0539
882,82,speechiness,0.056900000000000006
883,83,speechiness,0.04965
884,84,speechiness,0.0618
885,85,speechiness,0.0639
886,86,speechiness,0.0767
887,87,speechiness,0.0994
888,88,speechiness,0.0486
889,89,speechiness,0.0559
890,90,speechiness,0.133
891,91,speechiness,0.105
892,92,speechiness,0.0664
893,93,speechiness,0.06175
894,94,speechiness,0.0726
895,95,speechiness,0.12725
896,96,speechiness,0.22039999999999998
897,97,speechiness,0.0993
898,99,speechiness,0.0369
899,100,speechiness,0.0544
900,0,tempo,0.43879436730771604
901,1,tempo,0.4362051193600184
902,2,tempo,0.43637759900126083
903,3,tempo,0.43489920207632643
904,4,tempo,0.44834234744791734
905,5,tempo,0.44636704488988
906,6,tempo,0.4562866775903773
907,7,tempo,0.4468085106382979
908,8,tempo,0.4565228104325543
909,9,tempo,0.45188434008057266
910,10,tempo,0.4474676292673312
911,11,tempo,0.4466524576295548
912,12,tempo,0.4505496761900069
913,13,tempo,0.4464635513558133
914,14,tempo,0.4589231521065103
915,15,tempo,0.4509603420024887
916,16,tempo,0.44635677824456793
917,17,tempo,0.4611941340495346
918,18,tempo,0.45737083533532913
919,19,tempo,0.4562127577441306
920,20,tempo,0.4649414595884307
921,21,tempo,0.46747321432238087
922,22,tempo,0.46907891764918463
923,23,tempo,0.4752306915201617
924,24,tempo,0.4724032574012247
925,25,tempo,0.4791854032943612
926,26,tempo,0.4805611337661751
927,27,tempo,0.47617111623074493
928,28,tempo,0.4821113972082938
929,29,tempo,0.47663927525697414
930,30,tempo,0.4800190548936991
931,31,tempo,0.4782039120025297
932,32,tempo,0.4771813541294501
933,33,tempo,0.48097179957865693
934,34,tempo,0.47860636449876187
935,35,tempo,0.4812982788995799
936,36,tempo,0.479144336713113
937,37,tempo,0.47260243032027827
938,38,tempo,0.4753005047082835
939,39,tempo,0.4806083603346105
940,40,tempo,0.4805611337661751
941,41,tempo,0.4851462175625341
942,42,tempo,0.4810333994505292
943,43,tempo,0.4839881399713356
944,44,tempo,0.4802983076461868
945,45,tempo,0.48801471826271936
946,46,tempo,0.48190401097299057
947,47,tempo,0.47833327173346146
948,48,tempo,0.48612976218342807
949,49,tempo,0.48634330840591855
950,50,tempo,0.49086063234321803
951,51,tempo,0.4877765320914799
952,52,tempo,0.48957524835015015
